url,taste,roast,origin
https://beanbox.com/71,Brown Sugar,Medium,Guatemalan
https://beanbox.com/71,Chocolate,Medium,Guatemalan
https://beanbox.com/71,Spice,Medium,Guatemalan
https://beanbox.com/72,Cherry,Medium,Guatemalan
https://beanbox.com/72,Chocolate,Medium,Guatemalan
https://beanbox.com/73,Chocolate,Dark,Indonesian
https://beanbox.com/73,Hazelnut,Dark,Indonesian
https://beanbox.com/73,Herbal,Dark,Indonesian
https://beanbox.com/74,Chocolate,Light,Brazilian
https://beanbox.com/74,Cranberry,Light,Brazilian
https://beanbox.com/74,Date,Light,Brazilian
https://beanbox.com/75,Cinnamon,Light,Burundi
https://beanbox.com/75,Clove,Light,Burundi
https://beanbox.com/75,Pomegranate,Light,Burundi
https://beanbox.com/78,Clove,Light,Ethiopian
https://beanbox.com/78,Honey,Light,Ethiopian
https://beanbox.com/78,Kiwi,Light,Ethiopian
https://beanbox.com/80,Clove,Light,
https://beanbox.com/80,Lemon,Light,
https://beanbox.com/80,Peach,Light,
https://beanbox.com/81,Apricot,Light,
https://beanbox.com/81,Floral,Light,
https://beanbox.com/81,Lemon,Light,
https://beanbox.com/82,Caramel,Medium,Colombian
https://beanbox.com/82,Cherry,Medium,Colombian
https://beanbox.com/83,Blackberry,,Rwanda
https://beanbox.com/83,Brown Sugar,,Rwanda
https://beanbox.com/83,Fig,,Rwanda
https://beanbox.com/84,Chocolate,Light,
https://beanbox.com/85,Blackberry,Medium,Costa Rican
https://beanbox.com/85,Caramel,Medium,Costa Rican
https://beanbox.com/86,Lemon,Light,Ethiopian
https://beanbox.com/86,Meyer Lemon,Light,Ethiopian
https://beanbox.com/86,Nectarine,Light,Ethiopian
https://beanbox.com/88,Jasmine,Medium,Ethiopian
https://beanbox.com/89,Almond,Medium,Ethiopian
https://beanbox.com/89,Blueberry,Medium,Ethiopian
https://beanbox.com/89,Chocolate,Medium,Ethiopian
https://beanbox.com/90,Fruit,Medium,Ethiopian
https://beanbox.com/90,Jasmine,Medium,Ethiopian
https://beanbox.com/92,Pear,Dark,
https://beanbox.com/92,Vanilla,Dark,
https://beanbox.com/94,Almond,,Brazilian
https://beanbox.com/94,Honey,,Brazilian
https://beanbox.com/94,Nutty,,Brazilian
https://beanbox.com/95,Toffee,Medium,
https://beanbox.com/96,Cherry,Light,Panama
https://beanbox.com/96,Floral,Light,Panama
https://beanbox.com/96,Fruit,Light,Panama
https://beanbox.com/97,Chocolate,Dark,
https://beanbox.com/97,Fruit,Dark,
https://beanbox.com/100,Fruit,Light,Kenyan
https://beanbox.com/100,Graham Cracker,Light,Kenyan
https://beanbox.com/100,Marshmallow,Light,Kenyan
https://beanbox.com/101,Currant,Dark,Kenyan
https://beanbox.com/101,Fruit,Dark,Kenyan
https://beanbox.com/102,Blackberry,Light,Colombian
https://beanbox.com/102,Chocolate,Light,Colombian
https://beanbox.com/102,Fruit,Light,Colombian
https://beanbox.com/103,Clove,Light,Ethiopian
https://beanbox.com/103,Fruit,Light,Ethiopian
https://beanbox.com/103,Huckleberry,Light,Ethiopian
https://beanbox.com/104,Fruit,Light,Guatemalan
https://beanbox.com/104,Honey,Light,Guatemalan
https://beanbox.com/104,Melon,Light,Guatemalan
https://beanbox.com/105,Chocolate,Medium,Guatemalan
https://beanbox.com/106,Chocolate,Dark,Brazilian
https://beanbox.com/106,Citrus,Dark,Brazilian
https://beanbox.com/106,Spice,Dark,Brazilian
https://beanbox.com/107,Black Currant,Dark,
https://beanbox.com/107,Chocolate,Dark,
https://beanbox.com/107,Fruit,Dark,
https://beanbox.com/108,Caramel,Light,Indonesian
https://beanbox.com/108,Citrus,Light,Indonesian
https://beanbox.com/108,Fruit,Light,Indonesian
https://beanbox.com/110,Brown Sugar,Light,Guatemalan
https://beanbox.com/110,Chocolate,Light,Guatemalan
https://beanbox.com/110,Fruit,Light,Guatemalan
https://beanbox.com/111,Caramel,,Colombian
https://beanbox.com/111,Citrus,,Colombian
https://beanbox.com/111,Lemon,,Colombian
https://beanbox.com/112,Chocolate,Medium,
https://beanbox.com/112,Cocoa,Medium,
https://beanbox.com/112,Molasses,Medium,
https://beanbox.com/113,Brown Sugar,Medium,
https://beanbox.com/113,Caramel,Medium,
https://beanbox.com/113,Chocolate,Medium,
https://beanbox.com/114,Butterscotch,Light,Costa Rican
https://beanbox.com/114,Fruit,Light,Costa Rican
https://beanbox.com/114,Nutty,Light,Costa Rican
https://beanbox.com/115,Chocolate,,
https://beanbox.com/115,Dark Chocolate,,
https://beanbox.com/116,Cherry,Light,El Salvadoran
https://beanbox.com/116,Fruit,Light,El Salvadoran
https://beanbox.com/116,Lime,Light,El Salvadoran
https://beanbox.com/117,Chocolate,Medium,Panama
